path;identifier_length;identifier_frequency_per_file;number_of_separated_words;word_frequency_per_file;percent_of_word2vec_words;distance_to_class_name;distance_to_file_context
survey_source/UniqueNameNormalizer.java/UniqueNameNormalizer;20;1;3;467;100;52;63
survey_source/UniqueNameNormalizer.java/log;3;1;1;100;100;80;56
survey_source/UniqueNameNormalizer.java/CONSTANT_PATTERN;16;1;2;350;100;61;52
survey_source/UniqueNameNormalizer.java/instance;8;1;1;200;100;57;51
survey_source/UniqueNameNormalizer.java/classLoader;11;1;2;500;100;83;57
survey_source/UniqueNameNormalizer.java/cua;3;1;1;100;100;86;103
survey_source/UniqueNameNormalizer.java/getInstance;11;1;2;200;100;77;70
survey_source/UniqueNameNormalizer.java/classNames;10;1;2;500;100;76;70
survey_source/UniqueNameNormalizer.java/addStrings;10;2;2;150;100;80;55
survey_source/UniqueNameNormalizer.java/_class_names;12;2;2;500;100;76;70
survey_source/UniqueNameNormalizer.java/addConstructIds;15;1;3;133;100;77;55
survey_source/UniqueNameNormalizer.java/_classes;8;1;1;200;100;77;59
survey_source/UniqueNameNormalizer.java/cid;3;1;1;100;100;91;89
survey_source/UniqueNameNormalizer.java/setClassLoader;14;1;3;400;100;79;53
survey_source/UniqueNameNormalizer.java/_cl;3;1;1;200;100;70;59
survey_source/UniqueNameNormalizer.java/haveEqualUniqueName;19;1;4;375;100;73;71
survey_source/UniqueNameNormalizer.java/_e1;3;1;1;100;0;100;100
survey_source/UniqueNameNormalizer.java/_e2;3;1;1;100;0;100;100
survey_source/UniqueNameNormalizer.java/eq_before_norm;14;1;3;167;100;68;70
survey_source/UniqueNameNormalizer.java/p1;2;1;1;100;0;100;100
survey_source/UniqueNameNormalizer.java/p2;2;1;1;100;0;100;100
survey_source/UniqueNameNormalizer.java/eq_after_norm;13;1;3;167;100;73;78
survey_source/UniqueNameNormalizer.java/normalizeUniqueName;19;2;3;467;100;63;68
survey_source/UniqueNameNormalizer.java/_string;7;4;1;400;100;80;61
survey_source/UniqueNameNormalizer.java/tmp;3;4;1;100;100;79;73
survey_source/UniqueNameNormalizer.java/_entity;7;1;1;100;100;67;61
survey_source/UniqueNameNormalizer.java/toFix;5;1;2;100;100;79;70
survey_source/UniqueNameNormalizer.java/removeLeadingClassName;22;1;4;525;100;84;72
